Año,Matriculados Primer curso,Número GRADUADOS
2000,3170,
2001,3326,1699
2002,3790,1699
2003,4690,1863
2004,4609,2132
2005,4985,2261
2006,5204,2104
2007,6503,2646
2008,5817,2751
2009,5571,2665
2010,5907,3147
2011,5586,3575
2012,5503,3449
2013,6133,3577
2014,5587,3634
2015,6182,4046
2016,6879,3929
2017,7231,3971
2018,6809,3982
2019,6281,4081
2020,5428,4097
2021,6376,4374
2022,6672,4394
2023,6345,4235
